description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"Egg substitute, omelet, scrambled, or fried, with cheese and vegetables",Survey (FNDDS),207.0,23.35,0.0,11.96,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables",Survey (FNDDS),285.0,16.07,4.46,22.1,0.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg substitute, omelet, scrambled, or fried, with meat",Survey (FNDDS),274.0,25.4,0.01,18.4,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg substitute, omelet, scrambled, or fried, with meat and vegetables",Survey (FNDDS),277.0,22.7,7.79,16.58,0.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg substitute, omelet, scrambled, or fried, with vegetables",Survey (FNDDS),136.0,24.62,0.0,4.21,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white omelet, scrambled, or fried, made with butter",Survey (FNDDS),307.0,17.45,11.72,20.68,0.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg white omelet, scrambled, or fried, made with cooking spray",Survey (FNDDS),259.0,25.92,0.0,16.48,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white omelet, scrambled, or fried, made with margarine",Survey (FNDDS),274.0,25.4,0.01,18.4,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg white omelet, scrambled, or fried, made with oil",Survey (FNDDS),117.0,18.28,0.0,4.32,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg white omelet, scrambled, or fried, no added fat",Survey (FNDDS),237.0,25.82,0.0,14.1,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white omelet, scrambled, or fried, NS as to fat",Survey (FNDDS),208.0,24.62,0.0,11.45,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white omelet, scrambled, or fried, NS as to fat type",Survey (FNDDS),216.0,23.27,7.79,9.58,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Egg white sandwich,Survey (FNDDS),116.0,25.23,0.0,0.96,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg white sandwich, with cheese",Survey (FNDDS),185.0,22.78,7.79,6.26,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white sandwich, with meat",Survey (FNDDS),277.0,11.01,21.66,16.23,1.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg white, omelet, scrambled, or fried, with cheese",Survey (FNDDS),231.0,21.89,7.79,11.82,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with cheese and meat",Survey (FNDDS),160.0,24.95,0.01,6.65,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with cheese and vegetables",Survey (FNDDS),180.0,22.33,7.79,6.63,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables",Survey (FNDDS),237.0,17.18,11.72,13.46,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with meat",Survey (FNDDS),142.0,25.46,0.0,4.42,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with meat and vegetables",Survey (FNDDS),160.0,24.95,0.01,6.65,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg white, omelet, scrambled, or fried, with vegetables",Survey (FNDDS),121.0,25.37,0.0,2.15,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, Benedict",Survey (FNDDS),177.0,4.01,4.53,16.0,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, creamed",Survey (FNDDS),216.0,24.78,0.01,12.21,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, deviled",Survey (FNDDS),228.0,22.18,7.79,11.33,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, white, cooked, fat added",Survey (FNDDS),271.0,17.08,11.72,16.87,0.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg, white, cooked, no added fat",Survey (FNDDS),199.0,25.28,0.0,10.1,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, white, cooked, NS as to fat",Survey (FNDDS),271.0,17.08,11.72,16.87,0.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Egg, whole, baked, fat added",Survey (FNDDS),178.0,25.19,0.0,7.81,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, baked, no added fat",Survey (FNDDS),85.0,19.0,0.08,0.94,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, whole, baked, NS as to fat",Survey (FNDDS),85.0,19.0,0.08,0.94,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, whole, boiled or poached",Survey (FNDDS),143.0,21.96,0.01,5.85,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, cooked, NS as to cooking method",Survey (FNDDS),166.0,19.77,7.79,5.95,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried no added fat",Survey (FNDDS),227.0,15.32,11.72,12.96,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried with animal fat or meat drippings",Survey (FNDDS),125.0,22.41,0.0,3.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried with butter",Survey (FNDDS),143.0,21.96,0.01,5.85,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried with cooking spray",Survey (FNDDS),104.0,22.33,0.0,1.33,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, whole, fried with margarine",Survey (FNDDS),153.0,22.75,0.01,6.16,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried with oil",Survey (FNDDS),174.0,20.47,7.79,6.22,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried, from fast food / restaurant",Survey (FNDDS),233.0,15.84,11.72,13.17,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried, NS as to fat",Survey (FNDDS),134.0,23.22,0.0,3.93,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, fried, NS as to fat type",Survey (FNDDS),233.0,15.84,11.72,13.17,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, whole, pickled",Survey (FNDDS),114.0,23.13,0.0,1.66,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, yolk only, cooked, fat added",Survey (FNDDS),178.0,5.23,28.24,4.94,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Egg, yolk only, cooked, no added fat",Survey (FNDDS),87.0,2.47,14.45,2.21,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Egg, yolk only, cooked, NS as to fat",Survey (FNDDS),118.0,2.68,19.11,3.49,0.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Eggnog,Survey (FNDDS),111.0,2.59,17.29,3.43,0.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Eggnog, alcoholic",Survey (FNDDS),127.0,1.87,19.83,4.26,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Eggplant and meat casserole,Survey (FNDDS),124.0,2.99,25.22,1.2,0.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Eggplant dip,Survey (FNDDS),106.0,2.72,19.34,2.15,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Eggplant parmesan casserole, regular",Survey (FNDDS),136.0,15.07,5.73,5.52,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Eggplant with cheese and tomato sauce,Survey (FNDDS),37.0,1.06,3.2,2.62,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Eggplant, cooked, as ingredient",Survey (FNDDS),0.0,0.0,0.12,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Eggplant, cooked, fat added",Survey (FNDDS),10.0,0.0,2.45,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Eggplant, cooked, no added fat",Survey (FNDDS),249.0,8.77,35.82,7.89,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Eggplant, pickled",Survey (FNDDS),198.0,7.56,3.42,17.31,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Empanada, beef",Survey (FNDDS),223.0,8.52,3.6,19.61,0.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Empanada, beef, with vegetables",Survey (FNDDS),79.0,0.0,19.23,0.24,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Empanada, chicken",Survey (FNDDS),184.0,13.23,24.47,3.47,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Empanada, chicken, with vegetables",Survey (FNDDS),132.0,0.2,32.14,0.27,2.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Empanada, fruit",Survey (FNDDS),222.0,0.58,31.22,11.52,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Empanada, NFS",Survey (FNDDS),278.0,7.52,40.62,9.18,1.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Empanada, no meat",Survey (FNDDS),400.0,7.06,48.48,20.87,1.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Enchilada sauce, green",Survey (FNDDS),162.0,9.15,22.65,3.8,2.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Enchilada sauce, red",Survey (FNDDS),310.0,9.84,35.71,14.3,1.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Enchilada, beef",Survey (FNDDS),183.0,7.24,29.89,3.82,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Enchilada, chicken",Survey (FNDDS),264.0,7.79,30.62,12.21,2.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Enchilada, NFS",Survey (FNDDS),273.0,10.36,32.34,11.38,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Enchilada, no meat",Survey (FNDDS),273.0,10.36,32.34,11.38,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Enchilada, pork",Survey (FNDDS),162.0,9.15,22.65,3.8,2.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy Drink,Survey (FNDDS),271.0,11.34,30.44,11.57,2.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Energy drink (Full Throttle),Survey (FNDDS),45.0,0.25,10.59,0.15,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Energy drink (Monster),Survey (FNDDS),223.0,4.28,22.41,12.88,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (Mountain Dew AMP),Survey (FNDDS),218.0,4.02,21.9,12.86,1.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (No Fear Motherload),Survey (FNDDS),218.0,3.66,22.33,12.82,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (No Fear),Survey (FNDDS),155.0,11.81,3.42,10.3,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (NOS),Survey (FNDDS),223.0,4.04,22.86,12.86,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (Ocean Spray Cran-Energy Juice Drink),Survey (FNDDS),216.0,3.68,21.78,12.84,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (Red Bull),Survey (FNDDS),222.0,4.63,21.9,12.91,1.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (Rockstar),Survey (FNDDS),219.0,3.88,22.37,12.84,1.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (SoBe Energize Energy Juice Drink),Survey (FNDDS),352.0,4.19,39.94,19.82,2.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Energy drink (Vault),Survey (FNDDS),234.0,11.32,24.67,9.82,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (XS Gold Plus),Survey (FNDDS),185.0,4.9,16.18,11.33,1.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Energy drink (XS),Survey (FNDDS),216.0,3.76,21.5,12.88,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Energy drink, low calorie (Monster)",Survey (FNDDS),328.0,9.96,26.32,20.98,2.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Energy drink, sugar free",Survey (FNDDS),404.0,7.37,33.55,27.14,1.6,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Energy drink, sugar free (Monster)",Survey (FNDDS),403.0,6.3,37.29,25.59,1.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Energy drink, sugar free (Mountain Dew AMP)",Survey (FNDDS),378.0,6.56,27.46,26.93,0.9,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Energy drink, sugar free (No Fear)",Survey (FNDDS),220.0,14.38,11.72,12.4,0.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Energy drink, sugar free (Rockstar)",Survey (FNDDS),68.0,1.56,13.4,0.93,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Energy drink, sugar free (Vault)",Survey (FNDDS),68.0,1.56,13.46,0.94,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Energy drink, sugar-free (NOS)",Survey (FNDDS),61.0,1.59,13.47,0.1,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Energy drink, sugar-free (Red Bull)",Survey (FNDDS),76.0,1.62,12.96,1.99,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Escargot,Survey (FNDDS),70.0,1.58,13.61,1.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Escarole, cooked",Survey (FNDDS),80.0,1.26,12.94,2.59,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fajita, beef or pork",Survey (FNDDS),83.0,1.58,12.95,2.78,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fajita, chicken",Survey (FNDDS),61.0,1.59,13.41,0.1,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fajita, NFS",Survey (FNDDS),76.0,1.61,12.9,1.98,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fajita, shrimp",Survey (FNDDS),60.0,0.54,12.53,0.8,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fajita, vegetable",Survey (FNDDS),75.0,0.62,12.06,2.64,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Falafel,Survey (FNDDS),83.0,1.58,12.89,2.77,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Falafel sandwich,Survey (FNDDS),127.0,0.07,17.65,0.08,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fat back, cooked",Survey (FNDDS),159.0,0.87,18.24,9.27,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fava beans, cooked",Survey (FNDDS),146.0,6.82,10.94,8.4,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fennel bulb, cooked",Survey (FNDDS),106.0,0.81,25.4,0.06,0.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fig, canned",Survey (FNDDS),30.0,0.12,7.35,0.01,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fig, dried",Survey (FNDDS),122.0,0.08,16.06,0.08,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Firni, Indian pudding",Survey (FNDDS),66.0,1.51,13.07,0.88,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish and noodles with mushroom sauce,Survey (FNDDS),67.0,1.51,13.13,0.89,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish and rice with cream sauce,Survey (FNDDS),59.0,1.54,13.14,0.08,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish and rice with mushroom sauce,Survey (FNDDS),74.0,1.57,12.65,1.91,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish and rice with tomato-based sauce,Survey (FNDDS),58.0,0.52,12.28,0.76,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),73.0,0.6,11.84,2.56,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),81.0,1.54,12.64,2.68,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),59.0,1.54,13.08,0.08,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),74.0,1.56,12.6,1.91,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish curry,Survey (FNDDS),58.0,0.52,12.22,0.75,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish curry with rice,Survey (FNDDS),73.0,0.6,11.79,2.54,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish fillet, fried as ingredient in sandwiches",Survey (FNDDS),81.0,1.54,12.59,2.67,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",Survey (FNDDS),131.0,3.0,21.6,3.6,2.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, from fast food",Survey (FNDDS),127.0,3.0,21.6,3.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, from fast food, with cheese",Survey (FNDDS),142.0,3.2,23.9,3.73,2.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, on wheat bun",Survey (FNDDS),147.0,3.29,25.28,3.61,2.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, on wheat bun, with cheese",Survey (FNDDS),139.0,3.2,23.9,3.73,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, on white bun",Survey (FNDDS),143.0,3.29,25.28,3.61,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, fried, on white bun, with cheese",Survey (FNDDS),204.0,3.9,34.38,6.25,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, from school cafeteria",Survey (FNDDS),131.0,3.0,21.6,3.6,2.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, grilled",Survey (FNDDS),127.0,3.0,21.6,3.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish sandwich, NFS",Survey (FNDDS),160.0,4.31,24.87,5.76,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Fish sauce,Survey (FNDDS),159.0,4.0,24.2,5.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish shish kabob with vegetables, excluding potatoes",Survey (FNDDS),127.0,3.0,21.6,3.6,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Fish timbale or mousse,Survey (FNDDS),86.0,7.49,12.24,0.78,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish with cream or white sauce, not tuna or lobster",Survey (FNDDS),53.0,0.6,12.53,0.26,0.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish with tomato-based sauce,Survey (FNDDS),63.0,1.09,13.78,0.37,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Fish wrap sandwich,Survey (FNDDS),60.0,1.16,12.39,0.61,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, anchovy",Survey (FNDDS),83.0,7.09,11.92,0.69,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, bass, baked or broiled",Survey (FNDDS),64.0,1.59,12.74,0.72,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, bass, baked or broiled, coated",Survey (FNDDS),173.0,0.39,42.47,0.3,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, bass, fried",Survey (FNDDS),62.0,0.39,15.8,0.07,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, bass, grilled",Survey (FNDDS),48.0,0.43,12.41,0.09,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, bass, NFS",Survey (FNDDS),55.0,0.41,14.1,0.08,0.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, bass, steamed",Survey (FNDDS),219.0,2.51,12.42,17.97,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, cake or patty",Survey (FNDDS),64.0,0.0,16.03,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, canned",Survey (FNDDS),4.0,0.01,1.45,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, carp",Survey (FNDDS),380.0,0.0,97.9,1.01,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, catfish, baked or broiled",Survey (FNDDS),218.0,0.45,87.38,0.04,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, catfish, baked or broiled, coated",Survey (FNDDS),25.0,0.0,6.55,0.07,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, catfish, fried",Survey (FNDDS),2.0,0.0,0.73,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, catfish, grilled",Survey (FNDDS),27.0,0.0,6.67,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, catfish, NFS",Survey (FNDDS),2.0,0.0,0.87,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, catfish, steamed",Survey (FNDDS),386.0,0.0,98.94,0.0,0.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Fish, cod, baked or broiled",Survey (FNDDS),41.0,0.0,10.45,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cod, baked or broiled, coated",Survey (FNDDS),2.0,0.0,0.87,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cod, fried",Survey (FNDDS),50.0,0.16,12.46,0.12,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cod, grilled",Survey (FNDDS),47.0,0.77,10.18,0.34,0.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cod, NFS",Survey (FNDDS),10.0,0.0,2.5,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cod, steamed",Survey (FNDDS),39.0,0.0,10.0,0.07,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, cooked, as ingredient",Survey (FNDDS),54.0,0.13,13.16,0.0,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, croaker",Survey (FNDDS),53.0,0.0,13.2,0.0,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, eel",Survey (FNDDS),32.0,0.46,7.16,0.24,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, baked or broiled",Survey (FNDDS),1.0,0.0,0.47,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, baked or broiled, coated",Survey (FNDDS),39.0,0.0,10.0,0.07,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, fried",Survey (FNDDS),33.0,0.07,7.74,0.18,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, grilled",Survey (FNDDS),46.0,0.13,11.35,0.11,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, NFS",Survey (FNDDS),19.0,0.1,4.7,0.0,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, flounder, steamed",Survey (FNDDS),62.0,0.83,12.83,0.83,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, baked or broiled",Survey (FNDDS),51.0,0.29,12.1,0.26,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, baked or broiled, coated",Survey (FNDDS),48.0,0.69,11.29,0.23,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, fried",Survey (FNDDS),51.0,0.11,13.12,0.06,0.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, grilled",Survey (FNDDS),90.0,0.14,8.14,0.04,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, NFS",Survey (FNDDS),44.0,0.18,10.82,0.06,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Fish, haddock, steamed",Survey (FNDDS),251.0,1.78,17.54,19.48,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, halibut",Survey (FNDDS),153.0,1.93,17.28,8.67,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, herring",Survey (FNDDS),137.0,1.86,18.11,6.48,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mackerel, baked or broiled",Survey (FNDDS),247.0,1.78,13.57,20.68,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mackerel, baked or broiled, coated",Survey (FNDDS),164.0,1.99,15.25,10.62,1.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mackerel, canned",Survey (FNDDS),158.0,2.08,14.61,10.37,2.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mackerel, fried",Survey (FNDDS),244.0,1.87,16.95,19.1,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Fish, mackerel, grilled",Survey (FNDDS),148.0,2.03,16.57,8.45,2.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
